日付,銘柄,記事,月足前提,月足前提_正規化,日足シグナル,直前ポジション,実行操作,理由の原文要約,結果,再現ルール候補,ルール系統,失敗類型
2025-09-19,大平洋金属5541,https://note.com/origindiamond/n/n985d5707bc8a,月足20ヶ月線上で60ヶ月線を大きく抜けるところ・大暴騰候補だが長期化の可能性あり,上昇初動候補,コマ;20日線回復待ち,売0:買0,売り追加1;買い追加2,月足は非常に強いが仕込み難度が高く長引く可能性があるため小さく両建て開始,開始局面,月足が上昇初動候補で日足がコマ停止なら小さめ両建てで初期エントリーする,初期エントリー,
2025-09-30,大平洋金属5541,https://note.com/origindiamond/n/n985d5707bc8a,月足は良いが短期の崩れに対処が必要,上昇初動候補,大陰線,売2:買17,売り追加4;買い損切り4,直前に買いを積み過ぎた状態で大陰線が出たのでヘッジを半分近くまで引き上げる,下落継続でも耐える構え,上昇初動候補でも大陰線が出たら買いを削って売り比率を一気に引き上げる,ヘッジ切替,資金配分過多
2025-10-07,大平洋金属5541,https://note.com/origindiamond/n/n985d5707bc8a,横ばいでも月足優位を維持,上昇初動候補,大陽線,売10:買18,売り利確6;買い追加2;売り追加1,強い陽線で上昇再開の可能性が高いため含み益の売りを利確しつつ買い側へ戻す,戻し局面の再構築,上昇側の大陽線が出たら売りの含み益を利確して買い優位へ組み直す,ヘッジ切替,
2025-10-17,大平洋金属5541,https://note.com/origindiamond/n/n985d5707bc8a,長引くボックスか暴落を警戒,横ばい継続,窓下げコマ,売5:買28,買い利確13;売り追加3,窓下げ後に長期化の匂いが強まり一度軽くして下落にも備える,ポジション軽量化,上昇想定でも窓下げコマで長期化の匂いが出たら買いを大きく利確して軽くする,利確条件,資金配分過多
2025-12-02,大平洋金属5541,https://note.com/origindiamond/n/n985d5707bc8a,先月大陽線の翌月で続伸期待があった,上昇初動候補,7日割れ陰線,売6:買30,買い利確24;売り追加2;買い追加1,継続上昇の想定を崩す陰線が出たので大半を利確しつつ再上昇余地だけ残す,買い24利確で+60万,トレンド継続想定を崩す陰線が出たら主力買いを大きく利確して再エントリー余地だけ残す,利確条件,
2025-12-09,大平洋金属5541,https://note.com/origindiamond/n/n985d5707bc8a,月足上昇だが短期は陰線が増えている,横ばい継続,コマ全消し陰線,売11:買9,買い利確4,陰線が強く横ばいで再仕込みを待つ判断に切り替えた,現時点で70万利確済み,横ばい移行を示すコマ全消し陰線では買いを追加せず利確を優先する,利確条件,利確後の再乗り遅れ
2025-12-02,システナ2317,https://note.com/origindiamond/n/n21f0432e9904,上昇後の月足横ばい5ヶ月目で60V上昇を狙う,上昇初動候補,初期仕込み,売0:買0,売り追加5;買い追加20,今月が上昇月になりやすいと見て価格の安さも踏まえ大きめに両建て開始,開始局面,月足横ばい5ヶ月目前後で60V上昇を狙う場合は価格帯に応じて単位を調整して両建て開始する,初期エントリー,
2025-12-05,システナ2317,https://note.com/origindiamond/n/n21f0432e9904,上昇想定を維持,上昇初動候補,窓下げ陰線,売10:買55,売り追加10;買い追加5,危険シグナルでも一時的下落とみなし買い優位を維持した,後の失敗につながる積み上げ,上昇初動候補で窓下げ陰線でも一時的下落と判断する場合は売りも増やして片張りを避ける,追加条件,資金配分過多
2025-12-12,システナ2317,https://note.com/origindiamond/n/n21f0432e9904,想定通りの上抜け,上昇初動候補,上抜け陽線,売20:買130,両建て維持,仕込み切っているため新規追加せず放置,上抜け確認,十分に仕込めている状態で上抜け陽線が出たら無理に追加せず維持する,追加条件,
2026-01-30,システナ2317,https://note.com/origindiamond/n/n21f0432e9904,底値想定を継続,想定外停滞,下髭陰線;7下8本目,売35:買240,買い追加10,下髭と経過本数から底値と見てなお買いを足した,直後に失敗,想定月数や本数の限界付近で下髭が出ても即追加せず翌日の確認を待つ,時間切れ撤退,想定外停滞
